Date,Close,High,Low,Open,Volume,RSI_14,STO_K,STO_D,OBV,ATR_14,SMA_50,SMA_200,MACD,Volatility_Ratio,Regime_Flag,Target_Return,Sentiment,Returns,Vol_Change,Close_z,RSI_14_z,STO_K_z,MACD_z,ATR_14_z,Volatility_Ratio_z,OBV_z,SMA_200_z,Returns_z,Vol_Change_z
2019-10-31,40129.05078125,40392.21875,40054.890625,40211.98828125,87900,69.20278092983808,90.08547234951834,94.0365770848898,87310200,523.0422558201125,37911.1740625,37876.0290234375,531.3122819548444,1.3034005181714892,0.0,0.00089661898424,0.0,0.0019269933062389,1.3629032258064515,1.7174509470701471,1.579291737839783,0.8795931610689836,1.5206451772393397,-0.9359784134822434,-1.3626704350734058,1.9768858133817089,5.294651389216606,-0.0378417279989225,0.5152929950145538
2019-11-01,40165.03125,40283.30078125,40014.23046875,40196.0703125,57000,69.4961822373132,91.44099199726864,92.31866202427376,87367200,504.9014027258187,37968.2440625,37897.39658203125,564.974554187691,1.2570671228491044,0.0,0.0034091766703156,0.0,0.00089661898424,-0.3515358361774744,1.6238754707750336,1.4942873276169917,0.8759093322061325,1.581053737464153,-1.3162905516285337,-1.6735384320213498,2.2426710004868453,3.679879237894266,-0.1312374858390348,-0.4132115575833011
2019-11-04,40301.9609375,40483.2109375,40186.2890625,40293.8515625,62600,70.6424493815655,92.50128884098044,91.34258439592249,87429800,491.5641373525459,38027.27671875,37921.33783203125,595.8328387953225,1.219702778519537,0.0,-0.0013331973804779,0.0,0.0034091766703157,0.0982456140350878,1.680683516757386,1.5612071450208318,0.8941043893393088,1.64914753140949,-1.5587625846458435,-1.822878474995033,2.4148534259318573,2.951572016377664,-9.71118824588185e-05,-0.1711372570408169
2019-11-05,40248.23046875,40466.55078125,40053.55078125,40445.671875,45400,69.53821095650218,89.53289078744747,91.15839054189884,87384400,485.9524132559355,38084.1915625,37944.1034765625,608.9332484446713,1.207388269238928,0.0,0.0055046092379643,0.0,-0.0013331973804779,-0.2747603833865815,1.568461499603471,1.3692259039677803,0.7416562247811987,1.665964303817204,-1.690834564832692,-1.8267606810604784,1.8735200192029449,2.509280660435599,-0.3451071691272012,-0.362926563789684
2019-11-06,40469.78125,40606.91015625,40037.53125,40311.8515625,37700,71.5153845731694,93.7390873210499,91.9244223164926,87422100,491.9114484697972,38147.026953125,37967.20158203125,629.931258515302,1.2155031069504414,0.0,0.0045455405383492,0.0,0.0055046092379642,-0.1696035242290748,1.8472603535476613,1.67202721671793,1.0006712377778526,1.809132646010746,-1.5978597729417268,-1.6843826444136492,1.936677871161992,2.2016827420911502,0.1227597562916502,-0.2981886361674317
2019-11-07,40653.73828125,40688.26953125,40421.0703125,40625.640625,30200,73.07790615279718,98.37945352386365,93.88381054412032,87452300,475.8605749183831,38218.894296875,37990.565625,653.8786220775801,1.1705210763799692,0.0,-0.0081205055231602,0.0,0.0045455405383492,-0.1989389920424403,1.8768487164859395,1.731912240327789,1.223313403287547,1.937939582166627,-1.7247372264764225,-1.781735479682066,1.944233548766632,1.9701277477183337,0.247674239317299,-0.2938115783282797
2019-11-08,40323.609375,40749.328125,40263.94140625,40630.55859375,42600,66.07315731339759,79.0395633434689,90.3860347294608,87409700,476.5410137634986,38295.907890625,38011.11912109375,638.8541238334656,1.1817915636762082,0.0,0.0005324114168537,0.0,-0.0081205055231602,0.4105960264900663,1.3982906029467512,0.7422044510749021,0.1094344652016076,1.742748422027815,-1.6109635101970303,-1.5958796732138187,1.5564990196626027,1.7862994468874478,-1.1615793117955016,0.0103921190018901
2019-11-11,40345.078125,40417.44140625,40150.96875,40316.5,29500,66.2993883289846,80.09658602445231,85.83853429726162,87439200,461.53613108396297,38368.78625,38032.31201171875,621.5150112623451,1.1439713405783942,0.0,-0.0056765172331662,0.0,0.0005324114168536,-0.3075117370892019,1.3317418533710077,0.7653127290647619,0.1936250759039959,1.5126411262642308,-1.739377045842152,-1.6736034737928038,1.6187125705461212,1.634965850417707,-0.0689966934008068,-0.9571666130438228
2019-11-13,40116.05859375,40447.171875,40061.23046875,40346.4296875,37700,61.58188591588458,68.82071579821945,75.98562172204689,87401500,456.13650788153706,38421.225,38052.84310546875,582.5780799885324,1.1370421817875254,0.0,0.0042482208116664,0.0,-0.0056765172331662,0.2779661016949153,1.0174401395347372,0.0995458831223148,-0.4663719394742338,1.180849536080464,-1.702325327504034,-1.5899564203000776,1.31641138770666,1.5067627041734193,-0.9238163903648304,0.576473060918012
2019-11-14,40286.48046875,40348.609375,40026.98828125,40178.9296875,27800,63.6543750000881,77.2115064688788,75.37626943051684,87429300,446.5282640149987,38474.12921875,38075.00771484375,559.0277782214325,1.108382412212375,0.0,0.0017427915440382,0.0,0.0042482208116665,-0.2625994694960212,1.126529299839847,0.3814982878525362,0.0537053198954592,0.9713099121401012,-1.73145361994052,-1.6187175846207031,1.3897504861361147,1.395834606038935,0.4228232196354121,-0.8172919048148933
2019-11-15,40356.69140625,40650.05859375,40308.08984375,40408.19921875,25800,64.50394738173935,80.66837067339037,75.5668643134962,87455100,440.6032540853559,38532.22625,38095.19953125,539.8068726691927,1.0917724886067348,0.0,-0.0017964802731269,0.0,0.0017427915440382,-0.0719424460431654,1.123267264385047,0.4792929523444634,0.2643284577007263,0.8090933690653888,-1.6858392141878105,-1.57658160802643,1.4286871241340064,1.297945507728481,0.0578420036301507,-0.2930819155715022
2019-11-18,40284.19140625,40542.3984375,40221.96875,40431.078125,28700,62.86973758442127,68.89148398659258,75.59045370962058,87426400,432.0194279006876,38596.531484375,38115.01404296875,512.8126375764696,1.072429190756106,0.0,0.0046049779336322,0.0,-0.0017964802731269,0.1124031007751937,0.9837528579605416,0.2344748948138944,-0.4246178669109166,0.6156458232113184,-1.6785251044533562,-1.549753868067245,1.1961905809085684,1.2103263911979576,-0.4373947436751452,0.2059036353579965
2019-11-19,40469.69921875,40544.12890625,40290.2109375,40455.359375,39100,65.29272373146792,70.38515637928181,73.31500367975491,87465500,419.7278616220671,38659.2696875,38135.4921484375,500.6176334431293,1.0371410455840575,0.0,0.004495743970484,0.0,0.0046049779336323,0.362369337979094,1.0937447299278036,0.5268959141523508,-0.3426863165048364,0.5141199235826349,-1.7448886098239589,-1.6169860984738451,1.2989210301968843,1.1309352090028144,0.3913610450343556,0.8997432479740185
2019-11-20,40651.640625,40816.37890625,40575.9609375,40729.80078125,32300,67.5306729439084,79.46286827367908,72.9131695465178,87497800,414.5101348990623,38741.044296875,38156.8173046875,499.87194314272347,1.019663975490687,0.0,-0.0018810741417647,0.0,0.004495743970484,-0.1739130434782608,1.1951264438174003,0.7836333634563238,0.1687688833406568,0.4771862137006176,-1.6901745011779918,-1.5869978740875597,1.3580336838997296,1.0581988091699814,0.3352525114090148,-0.5516448250981072
2019-11-21,40575.171875,40744.8515625,40534.12109375,40737.30859375,21800,65.61564882265156,69.92987582176771,73.25930015824287,87476000,399.9544444598436,38818.05296875,38176.798359375,487.4910952647115,0.9857122619023868,0.0,-0.0053175799085878,0.0,-0.0018810741417647,-0.3250773993808049,1.0634226016013102,0.4603388915242093,-0.4781672525223879,0.3638021235877811,-1.782822743410034,-1.654042008997786,1.1725298715769084,0.990786117761928,-0.6768292576762618,-0.9282855349154704
